t 1 2 3 4 5 jO1 jO2 
0.00062 -0.0339881 0.684543 -0.0339881 -0.0679762 -0.0339881 6.79762e-06 -7.52519e-05
0.00063 -0.023082 0.718531 -0.023082 -0.046164 -0.023082 4.6164e-06 -7.64695e-05
0.00064 -0.0119995 0.741613 -0.0119995 -0.0239989 -0.0119995 2.39989e-06 -7.65612e-05
0.00065 -0.00090364 0.753613 -0.00090364 -0.00180728 -0.00090364 1.80728e-07 -7.5542e-05
0.00066 0.0100445 0.754516 0.0100445 0.0200889 0.0100445 -2.00889e-06 -7.34427e-05
0.00067 0.0206883 0.744472 0.0206883 0.0413767 0.0206883 -4.13767e-06 -7.03095e-05
0.00068 0.0308781 0.723783 0.0308781 0.0617563 0.0308781 -6.17563e-06 -6.62027e-05
0.00069 0.0404727 0.692905 0.0404727 0.0809455 0.0404727 -8.09455e-06 -6.1196e-05
0.0007 0.0493417 0.652433 0.0493417 0.0986834 0.0493417 -9.86834e-06 -5.53749e-05
0.00071 0.0573671 0.603091 0.0573671 0.114734 0.0573671 -1.14734e-05 -4.88357e-05
0.00072 0.0644447 0.545724 0.0644447 0.128889 0.0644447 -1.28889e-05 -4.16834e-05
0.00073 0.0704858 0.481279 0.0704858 0.140972 0.0704858 -1.40972e-05 -3.40308e-05
0.00074 0.0754178 0.410793 0.0754178 0.150836 0.0754178 -1.50836e-05 -2.59958e-05
0.00075 0.0791853 0.335376 0.0791853 0.158371 0.0791853 -1.58371e-05 -1.77005e-05
0.00076 0.0817506 0.25619 0.0817506 0.163501 0.0817506 -1.63501e-05 -9.26892e-06
0.00077 0.0830939 0.17444 0.0830939 0.166188 0.0830939 -1.66188e-05 -8.25196e-07
0.00078 0.0832135 0.0913458 0.0832135 0.166427 0.0832135 -1.66427e-05 7.50811e-06
0.00079 0.0821253 0.00813236 0.0821253 0.164251 0.0821253 -1.64251e-05 1.56118e-05
0.0008 0.0798628 -0.073993 0.0798628 0.159726 0.0798628 -1.59726e-05 2.33718e-05
0.00081 0.0764755 -0.153856 0.0764755 0.152951 0.0764755 -1.52951e-05 3.06807e-05
0.00082 0.0720291 -0.230331 0.0720291 0.144058 0.0720291 -1.44058e-05 3.74389e-05
0.00083 0.0666031 -0.30236 0.0666031 0.133206 0.0666031 -1.33206e-05 4.35567e-05
0.00084 0.0602906 -0.368963 0.0602906 0.120581 0.0602906 -1.20581e-05 4.89545e-05
0.00085 0.0531957 -0.429254 0.0531957 0.106391 0.0531957 -1.06391e-05 5.35645e-05
0.00086 0.0454327 -0.48245 0.0454327 0.0908655 0.0454327 -9.08655e-06 5.73315e-05
0.00087 0.0371238 -0.527882 0.0371238 0.0742476 0.0371238 -7.42476e-06 6.0213e-05
0.00088 0.0283973 -0.565006 0.0283973 0.0567946 0.0283973 -5.67946e-06 6.21801e-05
0.00089 0.0193857 -0.593404 0.0193857 0.0387714 0.0193857 -3.87714e-06 6.32175e-05
0.0009 0.0102237 -0.612789 0.0102237 0.0204475 0.0102237 -2.04475e-06 6.33237e-05
0.00091 0.00104639 -0.623013 0.00104639 0.00209278 0.00104639 -2.09278e-07 6.25106e-05
0.00092 -0.00801311 -0.624059 -0.00801311 -0.0160262 -0.00801311 1.60262e-06 6.08033e-05
0.00093 -0.0168252 -0.616046 -0.0168252 -0.0336504 -0.0168252 3.36504e-06 5.82396e-05
0.00094 -0.0252657 -0.599221 -0.0252657 -0.0505314 -0.0252657 5.05314e-06 5.4869e-05
0.00095 -0.0332177 -0.573955 -0.0332177 -0.0664355 -0.0332177 6.64355e-06 5.0752e-05
0.00096 -0.0405731 -0.540738 -0.0405731 -0.0811462 -0.0405731 8.11462e-06 4.59591e-05
0.00097 -0.0472338 -0.500165 -0.0472338 -0.0944677 -0.0472338 9.44677e-06 4.05697e-05
0.00098 -0.0531135 -0.452931 -0.0531135 -0.106227 -0.0531135 1.06227e-05 3.46704e-05
0.00099 -0.0581382 -0.399817 -0.0581382 -0.116276 -0.0581382 1.16276e-05 2.83541e-05
0.001 -0.0622475 -0.341679 -0.0622475 -0.124495 -0.0622475 1.24495e-05 2.17184e-05
0.00101 -0.0653951 -0.279432 -0.0653951 -0.13079 -0.0653951 1.3079e-05 1.48641e-05
0.00102 -0.0675493 -0.214036 -0.0675493 -0.135099 -0.0675493 1.35099e-05 7.89379e-06
0.00103 -0.0686933 -0.146487 -0.0686933 -0.137387 -0.0686933 1.37387e-05 9.1005e-07
0.00104 -0.0688252 -0.0777938 -0.0688252 -0.13765 -0.0688252 1.3765e-05 -5.98566e-06
0.00105 -0.0679577 -0.00896861 -0.0679577 -0.135915 -0.0679577 1.35915e-05 -1.26947e-05
0.00106 -0.0661179 0.0589891 -0.0661179 -0.132236 -0.0661179 1.32236e-05 -1.91225e-05
0.00107 -0.0633465 0.125107 -0.0633465 -0.126693 -0.0633465 1.26693e-05 -2.518e-05
0.00108 -0.0596973 0.188454 -0.0596973 -0.119395 -0.0596973 1.19395e-05 -3.07848e-05
0.00109 -0.0552357 0.248151 -0.0552357 -0.110471 -0.0552357 1.10471e-05 -3.58622e-05
0.0011 -0.0500383 0.303387 -0.0500383 -0.100077 -0.0500383 1.00077e-05 -4.03463e-05
0.00111 -0.044191 0.353425 -0.044191 -0.088382 -0.044191 8.8382e-06 -4.41807e-05
0.00112 -0.037788 0.397616 -0.037788 -0.075576 -0.037788 7.5576e-06 -4.73192e-05
0.00113 -0.0309301 0.435404 -0.0309301 -0.0618603 -0.0309301 6.18603e-06 -4.97264e-05
0.00114 -0.0237234 0.466334 -0.0237234 -0.0474468 -0.0237234 4.74468e-06 -5.13781e-05
0.00115 -0.0162773 0.490057 -0.0162773 -0.0325546 -0.0162773 3.25546e-06 -5.22612e-05
0.00116 -0.00870323 0.506335 -0.00870323 -0.0174065 -0.00870323 1.74065e-06 -5.23741e-05
0.00117 -0.00111277 0.515038 -0.00111277 -0.00222555 -0.00111277 2.22555e-07 -5.17263e-05
0.00118 0.0063838 0.516151 0.0063838 0.0127676 0.0063838 -1.27676e-06 -5.03383e-05
0.00119 0.0136792 0.509767 0.0136792 0.0273584 0.0136792 -2.73584e-06 -4.82408e-05
0.0012 0.0206706 0.496088 0.0206706 0.0413413 0.0206706 -4.13413e-06 -4.54746e-05
0.00121 0.0272612 0.475417 0.0272612 0.0545223 0.0272612 -5.45223e-06 -4.20895e-05
0.00122 0.0333611 0.448156 0.0333611 0.0667222 0.0333611 -6.67222e-06 -3.81434e-05
0.00123 0.0388891 0.414795 0.0388891 0.0777782 0.0388891 -7.77782e-06 -3.37017e-05
0.00124 0.0437734 0.375906 0.0437734 0.0875468 0.0437734 -8.75468e-06 -2.88359e-05
0.00125 0.0479525 0.332132 0.0479525 0.095905 0.0479525 -9.5905e-06 -2.36227e-05
0.00126 0.0513761 0.28418 0.0513761 0.102752 0.0513761 -1.02752e-05 -1.81428e-05
0.00127 0.0540055 0.232804 0.0540055 0.108011 0.0540055 -1.08011e-05 -1.24793e-05
0.00128 0.0558141 0.178798 0.0558141 0.111628 0.0558141 -1.11628e-05 -6.717e-06
0.00129 0.0567876 0.122984 0.0567876 0.113575 0.0567876 -1.13575e-05 -9.40899e-07
0.0013 0.0569239 0.0661965 0.0569239 0.113848 0.0569239 -1.13848e-05 4.76513e-06
0.00131 0.0562333 0.00927263 0.0562333 0.112467 0.0562333 -1.12467e-05 1.03194e-05
0.00132 0.0547378 -0.0469607 0.0547378 0.109476 0.0547378 -1.09476e-05 1.56436e-05
0.00133 0.0524706 -0.101698 0.0524706 0.104941 0.0524706 -1.04941e-05 2.0664e-05
0.00134 0.0494758 -0.154169 0.0494758 0.0989516 0.0494758 -9.89516e-06 2.53121e-05
0.00135 0.0458074 -0.203645 0.0458074 0.0916147 0.0458074 -9.16147e-06 2.9526e-05
0.00136 0.0415282 -0.249452 0.0415282 0.0830565 0.0415282 -8.30565e-06 3.32509e-05
0.00137 0.0367093 -0.29098 0.0367093 0.0734186 0.0367093 -7.34186e-06 3.64399e-05
0.00138 0.0314281 -0.32769 0.0314281 0.0628563 0.0314281 -6.28563e-06 3.90546e-05
0.00139 0.0257681 -0.359118 0.0257681 0.0515361 0.0257681 -5.15361e-06 4.10654e-05
0.0014 0.0198165 -0.384886 0.0198165 0.0396331 0.0198165 -3.96331e-06 4.24519e-05
0.00141 0.0136641 -0.404702 0.0136641 0.0273282 0.0136641 -2.73282e-06 4.32031e-05
0.00142 0.00740278 -0.418367 0.00740278 0.0148056 0.00740278 -1.48056e-06 4.33172e-05
0.00143 0.00112493 -0.425769 0.00112493 0.00224985 0.00112493 -2.24985e-07 4.28019e-05
0.00144 -0.00507825 -0.426894 -0.00507825 -0.0101565 -0.00507825 1.01565e-06 4.16738e-05
0.00145 -0.0111179 -0.421816 -0.0111179 -0.0222359 -0.0111179 2.22359e-06 3.9958e-05
0.00146 -0.0169089 -0.410698 -0.0169089 -0.0338179 -0.0169089 3.38179e-06 3.7688e-05
0.00147 -0.022371 -0.393789 -0.022371 -0.044742 -0.022371 4.4742e-06 3.49047e-05
0.00148 -0.0274296 -0.371418 -0.0274296 -0.0548593 -0.0274296 5.48593e-06 3.16559e-05
0.00149 -0.0320174 -0.343989 -0.0320174 -0.0640349 -0.0320174 6.40349e-06 2.79954e-05
0.0015 -0.0360747 -0.311971 -0.0360747 -0.0721495 -0.0360747 7.21495e-06 2.39822e-05
0.00151 -0.0395504 -0.275896 -0.0395504 -0.0791008 -0.0395504 7.91008e-06 1.96796e-05
0.00152 -0.0424025 -0.236346 -0.0424025 -0.084805 -0.0424025 8.4805e-06 1.51541e-05
0.00153 -0.0445988 -0.193943 -0.0445988 -0.0891975 -0.0445988 8.91975e-06 1.04746e-05
0.00154 -0.0461168 -0.149345 -0.0461168 -0.0922336 -0.0461168 9.22336e-06 5.7111e-06
0.00155 -0.0469445 -0.103228 -0.0469445 -0.093889 -0.0469445 9.3889e-06 9.33876e-07
0.00156 -0.0470799 -0.0562833 -0.0470799 -0.0941597 -0.0470799 9.41597e-06 -3.78764e-06
0.00157 -0.0465309 -0.00920342 -0.0465309 -0.0930619 -0.0465309 9.30619e-06 -8.38584e-06
0.00158 -0.0453156 0.0373275 -0.0453156 -0.0906312 -0.0453156 9.06312e-06 -1.27959e-05
0.00159 -0.0434611 0.0826431 -0.0434611 -0.0869222 -0.0434611 8.69222e-06 -1.69565e-05
0.0016 -0.0410036 0.126104 -0.0410036 -0.0820073 -0.0410036 8.20073e-06 -2.08112e-05
0.00161 -0.0379875 0.167108 -0.0379875 -0.0759751 -0.0379875 7.59751e-06 -2.43083e-05
0.00162 -0.0344646 0.205095 -0.0344646 -0.0689292 -0.0344646 6.89292e-06 -2.74025e-05
0.00163 -0.0304932 0.23956 -0.0304932 -0.0609865 -0.0304932 6.09865e-06 -3.00546e-05
0.00164 -0.0261375 0.270053 -0.0261375 -0.052275 -0.0261375 5.2275e-06 -3.22328e-05
0.00165 -0.0214661 0.296191 -0.0214661 -0.0429321 -0.0214661 4.29321e-06 -3.39123e-05
0.00166 -0.0165512 0.317657 -0.0165512 -0.0331025 -0.0165512 3.31025e-06 -3.50759e-05
0.00167 -0.0114678 0.334208 -0.0114678 -0.0229355 -0.0114678 2.29355e-06 -3.57144e-05
0.00168 -0.00629177 0.345676 -0.00629177 -0.0125835 -0.00629177 1.25835e-06 -3.58259e-05
0.00169 -0.00109961 0.351968 -0.00109961 -0.00219922 -0.00109961 2.19922e-07 -3.54167e-05
0.0017 0.00403324 0.353067 0.00403324 0.00806648 0.00403324 -8.06648e-07 -3.45001e-05
0.00171 0.00903325 0.349034 0.00903325 0.0180665 0.00903325 -1.80665e-06 -3.30967e-05
0.00172 0.0138299 0.340001 0.0138299 0.0276598 0.0138299 -2.76598e-06 -3.12341e-05
0.00173 0.0183566 0.326171 0.0183566 0.0367131 0.0183566 -3.67131e-06 -2.89458e-05
0.00174 0.0225516 0.307814 0.0225516 0.0451032 0.0225516 -4.51032e-06 -2.62711e-05
0.00175 0.026359 0.285263 0.026359 0.052718 0.026359 -5.2718e-06 -2.32545e-05
0.00176 0.0297292 0.258904 0.0297292 0.0594584 0.0297292 -5.94584e-06 -1.99445e-05
0.00177 0.0326197 0.229174 0.0326197 0.0652395 0.0326197 -6.52395e-06 -1.63935e-05
0.00178 0.0349956 0.196555 0.0349956 0.0699912 0.0349956 -6.99912e-06 -1.26563e-05
0.00179 0.0368298 0.161559 0.0368298 0.0736597 0.0368298 -7.36597e-06 -8.78994e-06
0.0018 0.0381038 0.124729 0.0381038 0.0762075 0.0381038 -7.62075e-06 -4.85217e-06
0.00181 0.038807 0.0866255 0.038807 0.0776139 0.038807 -7.76139e-06 -9.01154e-07
0.00182 0.0389376 0.0478185 0.0389376 0.0778751 0.0389376 -7.78751e-06 3.00566e-06
0.00183 0.038502 0.00888094 0.038502 0.0770039 0.038502 -7.70039e-06 6.8123e-06
0.00184 0.0375147 -0.029621 0.0375147 0.0750294 0.0375147 -7.50294e-06 1.0465e-05
0.00185 0.035998 -0.0671357 0.035998 0.071996 0.035998 -7.1996e-06 1.39132e-05
0.00186 0.0339816 -0.103134 0.0339816 0.0679632 0.0339816 -6.79632e-06 1.71097e-05
0.00187 0.0315019 -0.137115 0.0315019 0.0630039 0.0315019 -6.30039e-06 2.00119e-05
