t 1 2 3 4 5
5.6000000e-004 -8.6906537e-002 2.8147757e-001 -8.6906537e-002 -1.7381307e-001 -8.6906537e-002
5.7000000e-004 -8.0308122e-002 3.6838410e-001 -8.0308122e-002 -1.6061624e-001 -8.0308122e-002
5.8000000e-004 -7.2641451e-002 4.4869223e-001 -7.2641451e-002 -1.4528290e-001 -7.2641451e-002
5.9000000e-004 -6.4033115e-002 5.2133368e-001 -6.4033115e-002 -1.2806623e-001 -6.4033115e-002
6.0000000e-004 -5.4621523e-002 5.8536679e-001 -5.4621523e-002 -1.0924305e-001 -5.4621523e-002
6.1000000e-004 -4.4554713e-002 6.3998831e-001 -4.4554713e-002 -8.9109427e-002 -4.4554713e-002
6.2000000e-004 -3.3988079e-002 6.8454303e-001 -3.3988079e-002 -6.7976159e-002 -3.3988079e-002
6.3000000e-004 -2.3082004e-002 7.1853111e-001 -2.3082004e-002 -4.6164009e-002 -2.3082004e-002
6.4000000e-004 -1.1999466e-002 7.4161311e-001 -1.1999466e-002 -2.3998933e-002 -1.1999466e-002
6.5000000e-004 -9.0363963e-004 7.5361258e-001 -9.0363963e-004 -1.8072793e-003 -9.0363963e-004
6.6000000e-004 1.0044474e-002 7.5451622e-001 1.0044474e-002 2.0088948e-002 1.0044474e-002
6.7000000e-004 2.0688348e-002 7.4447174e-001 2.0688348e-002 4.1376695e-002 2.0688348e-002
6.8000000e-004 3.0878131e-002 7.2378340e-001 3.0878131e-002 6.1756262e-002 3.0878131e-002
6.9000000e-004 4.0472727e-002 6.9290526e-001 4.0472727e-002 8.0945454e-002 4.0472727e-002
7.0000000e-004 4.9341710e-002 6.5243254e-001 4.9341710e-002 9.8683420e-002 4.9341710e-002
7.1000000e-004 5.7367059e-002 6.0309083e-001 5.7367059e-002 1.1473412e-001 5.7367059e-002
7.2000000e-004 6.4444693e-002 5.4572377e-001 6.4444693e-002 1.2888939e-001 6.4444693e-002
7.3000000e-004 7.0485771e-002 4.8127908e-001 7.0485771e-002 1.4097154e-001 7.0485771e-002
7.4000000e-004 7.5417764e-002 4.1079330e-001 7.5417764e-002 1.5083553e-001 7.5417764e-002
7.5000000e-004 7.9185268e-002 3.3537554e-001 7.9185268e-002 1.5837054e-001 7.9185268e-002
7.6000000e-004 8.1750558e-002 2.5619027e-001 8.1750558e-002 1.6350112e-001 8.1750558e-002
7.7000000e-004 8.3093879e-002 1.7443971e-001 8.3093879e-002 1.6618776e-001 8.3093879e-002
7.8000000e-004 8.3213473e-002 9.1345835e-002 8.3213473e-002 1.6642695e-001 8.3213473e-002
7.9000000e-004 8.2125341e-002 8.1323621e-003 8.2125341e-002 1.6425068e-001 8.2125341e-002
8.0000000e-004 7.9862756e-002 -7.3992979e-002 7.9862756e-002 1.5972551e-001 7.9862756e-002
8.1000000e-004 7.6475532e-002 -1.5385573e-001 7.6475532e-002 1.5295106e-001 7.6475532e-002
8.2000000e-004 7.2029057e-002 -2.3033127e-001 7.2029057e-002 1.4405811e-001 7.2029057e-002
8.3000000e-004 6.6603123e-002 -3.0236032e-001 6.6603123e-002 1.3320625e-001 6.6603123e-002
8.4000000e-004 6.0290564e-002 -3.6896345e-001 6.0290564e-002 1.2058113e-001 6.0290564e-002
8.5000000e-004 5.3195716e-002 -4.2925401e-001 5.3195716e-002 1.0639143e-001 5.3195716e-002
8.6000000e-004 4.5432738e-002 -4.8244973e-001 4.5432738e-002 9.0865476e-002 4.5432738e-002
8.7000000e-004 3.7123822e-002 -5.2788246e-001 3.7123822e-002 7.4247644e-002 3.7123822e-002
8.8000000e-004 2.8397299e-002 -5.6500629e-001 2.8397299e-002 5.6794598e-002 2.8397299e-002
8.9000000e-004 1.9385692e-002 -5.9340359e-001 1.9385692e-002 3.8771384e-002 1.9385692e-002
9.0000000e-004 1.0223736e-002 -6.1278928e-001 1.0223736e-002 2.0447471e-002 1.0223736e-002
9.1000000e-004 1.0463915e-003 -6.2301301e-001 1.0463915e-003 2.0927831e-003 1.0463915e-003
9.2000000e-004 -8.0131128e-003 -6.2405941e-001 -8.0131128e-003 -1.6026226e-002 -8.0131128e-003
9.3000000e-004 -1.6825188e-002 -6.1604629e-001 -1.6825188e-002 -3.3650376e-002 -1.6825188e-002
9.4000000e-004 -2.5265708e-002 -5.9922110e-001 -2.5265708e-002 -5.0531417e-002 -2.5265708e-002
9.5000000e-004 -3.3217733e-002 -5.7395540e-001 -3.3217733e-002 -6.6435466e-002 -3.3217733e-002
9.6000000e-004 -4.0573094e-002 -5.4073766e-001 -4.0573094e-002 -8.1146188e-002 -4.0573094e-002
9.7000000e-004 -4.7233840e-002 -5.0016457e-001 -4.7233840e-002 -9.4467680e-002 -4.7233840e-002
9.8000000e-004 -5.3113505e-002 -4.5293073e-001 -5.3113505e-002 -1.0622701e-001 -5.3113505e-002
