t 1 2 3 4 5 6 jL0100 jL0200 jL0300
9.0000000e-006 9.5573423e-001 8.2736027e-001 6.2765292e-001 6.2765292e-001 1.4550132e+000 2.4107474e+000 9.1534746e-003 3.4892923e-002 7.2328274e-002
9.3000000e-006 9.5290243e-001 8.1659842e-001 6.0546401e-001 6.0546401e-001 1.4220624e+000 2.3749649e+000 9.4393453e-003 3.5872841e-002 7.3963027e-002
9.6000000e-006 9.4998512e-001 8.0554657e-001 5.8280303e-001 5.8280303e-001 1.3883496e+000 2.3383347e+000 9.7243409e-003 3.6839497e-002 7.5536595e-002
9.9000000e-006 9.4698259e-001 7.9420880e-001 5.5968870e-001 5.5968870e-001 1.3538975e+000 2.3008801e+000 1.0008436e-002 3.7792547e-002 7.7047755e-002
1.0200000e-005 9.4389511e-001 7.8258931e-001 5.3614010e-001 5.3614010e-001 1.3187294e+000 2.2626245e+000 1.0291604e-002 3.8731654e-002 7.8495333e-002
1.0500000e-005 9.4072296e-001 7.7069236e-001 5.1217664e-001 5.1217664e-001 1.2828690e+000 2.2235920e+000 1.0573821e-002 3.9656485e-002 7.9878210e-002
1.0800000e-005 9.3746645e-001 7.5852235e-001 4.8781804e-001 4.8781804e-001 1.2463404e+000 2.1838068e+000 1.0855061e-002 4.0566712e-002 8.1195319e-002
1.1100000e-005 9.3412586e-001 7.4608375e-001 4.6308435e-001 4.6308435e-001 1.2091681e+000 2.1432940e+000 1.1135299e-002 4.1462012e-002 8.2445647e-002
1.1400000e-005 9.3070150e-001 7.3338112e-001 4.3799588e-001 4.3799588e-001 1.1713770e+000 2.1020785e+000 1.1414509e-002 4.2342070e-002 8.3628235e-002
1.1700000e-005 9.2719370e-001 7.2041915e-001 4.1257322e-001 4.1257322e-001 1.1329924e+000 2.0601861e+000 1.1692667e-002 4.3206573e-002 8.4742183e-002
1.2000000e-005 9.2360278e-001 7.0720259e-001 3.8683723e-001 3.8683723e-001 1.0940398e+000 2.0176426e+000 1.1969748e-002 4.4055216e-002 8.5786644e-002
1.2300000e-005 9.1992906e-001 6.9373628e-001 3.6080898e-001 3.6080898e-001 1.0545453e+000 1.9744743e+000 1.2245727e-002 4.4887699e-002 8.6760828e-002
1.2600000e-005 9.1617289e-001 6.8002516e-001 3.3450978e-001 3.3450978e-001 1.0145349e+000 1.9307078e+000 1.2520579e-002 4.5703730e-002 8.7664004e-002
1.2900000e-005 9.1233460e-001 6.6607425e-001 3.0796113e-001 3.0796113e-001 9.7403539e-001 1.8863700e+000 1.2794279e-002 4.6503019e-002 8.8495499e-002
1.3200000e-005 9.0841456e-001 6.5188867e-001 2.8118472e-001 2.8118472e-001 9.3307339e-001 1.8414880e+000 1.3066803e-002 4.7285285e-002 8.9254698e-002
1.3500000e-005 9.0441312e-001 6.3747359e-001 2.5420241e-001 2.5420241e-001 8.9167600e-001 1.7960891e+000 1.3338127e-002 4.8050253e-002 8.9941045e-002
1.3800000e-005 9.0033066e-001 6.2283430e-001 2.2703620e-001 2.2703620e-001 8.4987049e-001 1.7502011e+000 1.3608227e-002 4.8797655e-002 9.0554042e-002
1.4100000e-005 8.9616753e-001 6.0797613e-001 1.9970822e-001 1.9970822e-001 8.0768435e-001 1.7038519e+000 1.3877077e-002 4.9527226e-002 9.1093255e-002
1.4400000e-005 8.9192414e-001 5.9290451e-001 1.7224073e-001 1.7224073e-001 7.6514524e-001 1.6570694e+000 1.4144654e-002 5.0238711e-002 9.1558304e-002
1.4700000e-005 8.8760086e-001 5.7762496e-001 1.4465607e-001 1.4465607e-001 7.2228102e-001 1.6098819e+000 1.4410934e-002 5.0931861e-002 9.1948876e-002
1.5000000e-005 8.8319809e-001 5.6214303e-001 1.1697665e-001 1.1697665e-001 6.7911968e-001 1.5623178e+000 1.4675894e-002 5.1606433e-002 9.2264713e-002
1.5300000e-005 8.7871624e-001 5.4646437e-001 8.9224966e-002 8.9224966e-002 6.3568934e-001 1.5144056e+000 1.4939509e-002 5.2262190e-002 9.2505620e-002
1.5600000e-005 8.7415571e-001 5.3059470e-001 6.1423527e-002 6.1423527e-002 5.9201822e-001 1.4661739e+000 1.5201755e-002 5.2898904e-002 9.2671464e-002
1.5900000e-005 8.6951693e-001 5.1453979e-001 3.3594876e-002 3.3594876e-002 5.4813467e-001 1.4176516e+000 1.5462610e-002 5.3516352e-002 9.2762170e-002
1.6200000e-005 8.6480031e-001 4.9830550e-001 5.7615583e-003 5.7615583e-003 5.0406706e-001 1.3688674e+000 1.5722051e-002 5.4114318e-002 9.2777726e-002
1.6500000e-005 8.6000630e-001 4.8189772e-001 -2.2053896e-002 -2.2053896e-002 4.5984382e-001 1.3198501e+000 1.5980052e-002 5.4692595e-002 9.2718181e-002
1.6800000e-005 8.5513532e-001 4.6532242e-001 -4.9828989e-002 -4.9828989e-002 4.1549343e-001 1.2706288e+000 1.6236593e-002 5.5250982e-002 9.2583642e-002
1.7100000e-005 8.5018782e-001 4.4858564e-001 -7.7541273e-002 -7.7541273e-002 3.7104437e-001 1.2212322e+000 1.6491649e-002 5.5789285e-002 9.2374281e-002
1.7400000e-005 8.4516426e-001 4.3169344e-001 -1.0516837e-001 -1.0516837e-001 3.2652507e-001 1.1716893e+000 1.6745199e-002 5.6307317e-002 9.2090326e-002
1.7700000e-005 8.4006510e-001 4.1465197e-001 -1.3268799e-001 -1.3268799e-001 2.8196398e-001 1.1220291e+000 1.6997218e-002 5.6804900e-002 9.1732069e-002
1.8000000e-005 8.3489079e-001 3.9746741e-001 -1.6007795e-001 -1.6007795e-001 2.3738947e-001 1.0722803e+000 1.7247685e-002 5.7281861e-002 9.1299858e-002
1.8300000e-005 8.2964182e-001 3.8014600e-001 -1.8731618e-001 -1.8731618e-001 1.9282982e-001 1.0224716e+000 1.7496578e-002 5.7738036e-002 9.0794105e-002
1.8600000e-005 8.2431866e-001 3.6269402e-001 -2.1438076e-001 -2.1438076e-001 1.4831326e-001 9.7263192e-001 1.7743874e-002 5.8173269e-002 9.0215277e-002
1.8900000e-005 8.1892179e-001 3.4511780e-001 -2.4124993e-001 -2.4124993e-001 1.0386787e-001 9.2278966e-001 1.7989550e-002 5.8587410e-002 8.9563902e-002
1.9200000e-005 8.1345172e-001 3.2742370e-001 -2.6790210e-001 -2.6790210e-001 5.9521601e-002 8.7297332e-001 1.8233586e-002 5.8980318e-002 8.8840566e-002
1.9500000e-005 8.0790893e-001 3.0961815e-001 -2.9431588e-001 -2.9431588e-001 1.5302269e-002 8.2321120e-001 1.8475958e-002 5.9351860e-002 8.8045913e-002
1.9800000e-005 8.0229393e-001 2.9170757e-001 -3.2047007e-001 -3.2047007e-001 -2.8762496e-002 7.7353144e-001 1.8716647e-002 5.9701909e-002 8.7180644e-002
2.0100000e-005 7.9660725e-001 2.7369847e-001 -3.4634373e-001 -3.4634373e-001 -7.2645255e-002 7.2396199e-001 1.8955629e-002 6.0030347e-002 8.6245516e-002
2.0400000e-005 7.9084938e-001 2.5559735e-001 -3.7191613e-001 -3.7191613e-001 -1.1631878e-001 6.7453060e-001 1.9192883e-002 6.0337064e-002 8.5241342e-002
2.0700000e-005 7.8502086e-001 2.3741076e-001 -3.9716683e-001 -3.9716683e-001 -1.5975606e-001 6.2526480e-001 1.9428390e-002 6.0621957e-002 8.4168992e-002
2.1000000e-005 7.7912223e-001 2.1914528e-001 -4.2207564e-001 -4.2207564e-001 -2.0293036e-001 5.7619187e-001 1.9662126e-002 6.0884931e-002 8.3029388e-002
2.1300000e-005 7.7315400e-001 2.0080751e-001 -4.4662269e-001 -4.4662269e-001 -2.4581518e-001 5.2733882e-001 1.9894073e-002 6.1125900e-002 8.1823506e-002
2.1600000e-005 7.6711674e-001 1.8240408e-001 -4.7078841e-001 -4.7078841e-001 -2.8838433e-001 4.7873241e-001 2.0124208e-002 6.1344785e-002 8.0552378e-002
2.1900000e-005 7.6101099e-001 1.6394162e-001 -4.9455353e-001 -4.9455353e-001 -3.3061191e-001 4.3039908e-001 2.0352511e-002 6.1541515e-002 7.9217083e-002
2.2200000e-005 7.5483730e-001 1.4542682e-001 -5.1789916e-001 -5.1789916e-001 -3.7247234e-001 3.8236496e-001 2.0578962e-002 6.1716027e-002 7.7818755e-002
2.2500000e-005 7.4859624e-001 1.2686634e-001 -5.4080673e-001 -5.4080673e-001 -4.1394040e-001 3.3465584e-001 2.0803541e-002 6.1868267e-002 7.6358577e-002
2.2800000e-005 7.4228837e-001 1.0826688e-001 -5.6325807e-001 -5.6325807e-001 -4.5499119e-001 2.8729718e-001 2.1026228e-002 6.1998187e-002 7.4837780e-002
2.3100000e-005 7.3591427e-001 8.9635154e-002 -5.8523536e-001 -5.8523536e-001 -4.9560021e-001 2.4031406e-001 2.1247002e-002 6.2105750e-002 7.3257645e-002
2.3400000e-005 7.2947452e-001 7.0977877e-002 -6.0672121e-001 -6.0672121e-001 -5.3574333e-001 1.9373118e-001 2.1465844e-002 6.2190923e-002 7.1619498e-002
2.3700000e-005 7.2296970e-001 5.2301772e-002 -6.2769862e-001 -6.2769862e-001 -5.7539685e-001 1.4757284e-001 2.1682735e-002 6.2253685e-002 6.9924711e-002
2.4000000e-005 7.1640040e-001 3.3613565e-002 -6.4815103e-001 -6.4815103e-001 -6.1453747e-001 1.0186293e-001 2.1897655e-002 6.2294021e-002 6.8174704e-002
2.4300000e-005 7.0976722e-001 1.4919988e-002 -6.6806231e-001 -6.6806231e-001 -6.5314233e-001 5.6624897e-002 2.2110585e-002 6.2311925e-002 6.6370935e-002
2.4600000e-005 7.0307077e-001 -3.7722318e-003 -6.8741679e-001 -6.8741679e-001 -6.9118902e-001 1.1881752e-002 2.2321507e-002 6.2307399e-002 6.4514910e-002
2.4900000e-005 6.9631165e-001 -2.2456367e-002 -7.0619924e-001 -7.0619924e-001 -7.2865561e-001 -3.2343955e-002 2.2530400e-002 6.2280451e-002 6.2608172e-002
2.5200000e-005 6.8949048e-001 -4.1125697e-002 -7.2439493e-001 -7.2439493e-001 -7.6552063e-001 -7.6030151e-002 2.2737247e-002 6.2231100e-002 6.0652306e-002
2.5500000e-005 6.8260787e-001 -5.9773509e-002 -7.4198961e-001 -7.4198961e-001 -8.0176312e-001 -1.1915525e-001 2.2942030e-002 6.2159372e-002 5.8648934e-002
2.5800000e-005 6.7566445e-001 -7.8393099e-002 -7.5896953e-001 -7.5896953e-001 -8.3736262e-001 -1.6169818e-001 2.3144729e-002 6.2065300e-002 5.6599716e-002
2.6100000e-005 6.6866085e-001 -9.6977777e-002 -7.7532143e-001 -7.7532143e-001 -8.7229921e-001 -2.0363836e-001 2.3345327e-002 6.1948927e-002 5.4506348e-002
2.6400000e-005 6.6159771e-001 -1.1552087e-001 -7.9103260e-001 -7.9103260e-001 -9.0655347e-001 -2.4495576e-001 2.3543806e-002 6.1810302e-002 5.2370560e-002
2.6700000e-005 6.5447566e-001 -1.3401571e-001 -8.0609083e-001 -8.0609083e-001 -9.4010655e-001 -2.8563088e-001 2.3740149e-002 6.1649483e-002 5.0194115e-002
2.7000000e-005 6.4729536e-001 -1.5245567e-001 -8.2048447e-001 -8.2048447e-001 -9.7294015e-001 -3.2564478e-001 2.3934338e-002 6.1466536e-002 4.7978807e-002
2.7300000e-005 6.4005746e-001 -1.7083413e-001 -8.3420241e-001 -8.3420241e-001 -1.0050365e+000 -3.6497909e-001 2.4126355e-002 6.1261535e-002 4.5726460e-002
2.7600000e-005 6.3276260e-001 -1.8914450e-001 -8.4723409e-001 -8.4723409e-001 -1.0363786e+000 -4.0361599e-001 2.4316184e-002 6.1034562e-002 4.3438928e-002
