t 1 2 3 4 5 6 7 8 jV0100 
7.4e-08 0 4.55825 0 4.8648 0.129657 4.86072 4.99568 0.0272158 0
7.5e-08 0 4.5725 0 4.87124 0.123483 4.86735 4.99607 0.0247416 0
7.6e-08 0 4.58629 0 4.87737 0.117603 4.87367 4.99643 0.0224924 0
7.7e-08 0 4.59963 0 4.88321 0.112003 4.87968 4.99675 0.0204476 0
7.8e-08 0 4.61255 0 4.88877 0.106669 4.88541 4.99705 0.0185887 0
7.9e-08 0 4.62505 0 4.89407 0.10159 4.89087 4.99731 0.0168989 0
8e-08 0 4.63714 0 4.89912 0.0967522 4.89607 4.99756 0.0153626 0
8.1e-08 0 4.64885 0 4.90392 0.092145 4.90102 4.99778 0.013966 0
8.2e-08 0 4.66018 0 4.90849 0.0877571 4.90573 4.99798 0.0126964 0
8.3e-08 0 4.67114 0 4.91285 0.0835782 4.91022 4.99817 0.0115421 0
8.4e-08 0 4.68175 0 4.917 0.0795983 4.91449 4.99833 0.0104929 0
8.5e-08 0 4.69201 0 4.92095 0.0758079 4.91857 4.99848 0.00953897 0
8.6e-08 0 4.70195 0 4.92472 0.072198 4.92244 4.99862 0.00867179 0
8.7e-08 0 4.71156 0 4.9283 0.06876 4.92614 4.99875 0.00788344 0
8.8e-08 0 4.72087 0 4.93172 0.0654857 4.92965 4.99886 0.00716677 0
8.9e-08 0 4.72987 0 4.93497 0.0623674 4.933 4.99896 0.00651524 0
9e-08 0 4.73859 0 4.93807 0.0593975 4.93619 4.99906 0.00592295 0
9.1e-08 0 4.74702 0 4.94101 0.056569 4.93923 4.99914 0.0053845 0
9.2e-08 0 4.75518 0 4.94382 0.0538753 4.94213 4.99922 0.004895 0
9.3e-08 0 4.76308 0 4.9465 0.0513098 4.94488 4.99929 0.00445 0
9.4e-08 0 4.77072 0 4.94905 0.0488665 4.94751 4.99936 0.00404545 0
9.5e-08 0 4.77811 0 4.95147 0.0465395 4.95001 4.99942 0.00367768 0
9.6e-08 0 4.78527 0 4.95378 0.0443233 4.95239 4.99947 0.00334335 0
9.7e-08 0 4.7922 0 4.95598 0.0422127 4.95465 4.99952 0.00303941 0
9.8e-08 0 4.7989 0 4.95808 0.0402026 4.95681 4.99956 0.0027631 0
9.9e-08 0 4.80539 0 4.96008 0.0382881 4.95887 4.9996 0.00251191 0
1e-07 0 4.81167 0 4.96198 0.0364649 4.96083 4.99964 0.00228355 0
1.01e-07 0 4.81774 0 4.96379 0.0347285 4.96269 4.99967 0.00207596 0
1.02e-07 0 4.82362 0 4.96551 0.0330747 4.96447 4.9997 0.00188723 0
1.03e-07 0 4.82931 0 4.96715 0.0314998 4.96616 4.99973 0.00171567 0
1.04e-07 0 4.83482 0 4.96872 0.0299998 4.96777 4.99975 0.0015597 0
1.05e-07 0 4.84015 0 4.97021 0.0285712 4.96931 4.99977 0.00141791 0
1.06e-07 0 4.8453 0 4.97163 0.0272107 4.97077 4.9998 0.00128901 0
1.07e-07 0 4.85029 0 4.97298 0.0259149 4.97216 4.99981 0.00117182 0
1.08e-07 0 4.85512 0 4.97426 0.0246809 4.97349 4.99983 0.00106529 0
1.09e-07 0 4.8598 0 4.97549 0.0235056 4.97475 4.99985 0.000968449 0
1.1e-07 0 4.86432 0 4.97666 0.0223863 4.97595 4.99986 0.000880408 0
1.11e-07 0 4.8687 0 4.97777 0.0213203 4.9771 4.99987 0.000800371 0
1.12e-07 0 4.87293 0 4.97883 0.020305 4.97819 4.99988 0.00072761 0
