t 1 2 3 4 5 6 7 
1.15e-08 0.104545 0 2.18244 0 5 0 5
1.16e-08 0.105455 0 2.19646 0 5 0 5
1.17e-08 0.106364 0 2.21041 0 5 0 5
1.18e-08 0.107273 0 2.22429 0 5 0 5
1.19e-08 0.108182 0 2.2381 0 5 0 5
1.2e-08 0.109091 0 2.25184 0 5 0 5
1.21e-08 0.11 0 2.26551 0 5 0 5
1.22e-08 0.110909 0 2.27911 0 5 0 5
1.23e-08 0.111818 0 2.29265 0 5 0 5
1.24e-08 0.112727 0 2.30612 0 5 0 5
1.25e-08 0.113636 0 2.31952 0 5 0 5
1.26e-08 0.114545 0 2.33286 0 5 0 5
1.27e-08 0.115455 0 2.34613 0 5 0 5
1.28e-08 0.116364 0 2.35933 0 5 0 5
1.29e-08 0.117273 0 2.37247 0 5 0 5
1.3e-08 0.118182 0 2.38554 0 5 0 5
1.31e-08 0.119091 0 2.39855 0 5 0 5
1.32e-08 0.12 0 2.41149 0 5 0 5
1.33e-08 0.120909 0 2.42437 0 5 0 5
1.34e-08 0.121818 0 2.43718 0 5 0 5
1.35e-08 0.122727 0 2.44993 0 5 0 5
1.36e-08 0.123636 0 2.46262 0 5 0 5
1.37e-08 0.124545 0 2.47524 0 5 0 5
1.38e-08 0.125455 0 2.4878 0 5 0 5
1.39e-08 0.126364 0 2.5003 5 0 5 0
1.4e-08 0.127273 0 2.51274 5 0 5 0
1.41e-08 0.128182 0 2.52511 5 0 5 0
1.42e-08 0.129091 0 2.53743 5 0 5 0
1.43e-08 0.13 0 2.54968 5 0 5 0
1.44e-08 0.130909 0 2.56187 5 0 5 0
1.45e-08 0.131818 0 2.574 5 0 5 0
1.46e-08 0.132727 0 2.58607 5 0 5 0
1.47e-08 0.133636 0 2.59808 5 0 5 0
1.48e-08 0.134545 0 2.61003 5 0 5 0
1.49e-08 0.135455 0 2.62192 5 0 5 0
1.5e-08 0.136364 0 2.63375 5 0 5 0
1.51e-08 0.137273 0 2.64552 5 0 5 0
1.52e-08 0.138182 0 2.65724 5 0 5 0
1.53e-08 0.139091 0 2.66889 5 0 5 0
1.54e-08 0.14 0 2.68049 5 0 5 0
1.55e-08 0.140909 0 2.69203 5 0 5 0
1.56e-08 0.141818 0 2.70351 5 0 5 0
1.57e-08 0.142727 0 2.71494 5 0 5 0
1.58e-08 0.143636 0 2.7263 5 0 5 0
1.59e-08 0.144545 0 2.73762 5 0 5 0
1.6e-08 0.145455 0 2.74887 5 0 5 0
1.61e-08 0.146364 0 2.76007 5 0 5 0
1.62e-08 0.147273 0 2.77122 5 0 5 0
1.63e-08 0.148182 0 2.7823 5 0 5 0
1.64e-08 0.149091 0 2.79334 5 0 5 0
1.65e-08 0.15 0 2.80432 5 0 5 0
1.66e-08 0.150909 0 2.81524 5 0 5 0
