t 1 2 3 4 5 6 7 8 jV0700 
0 0 0 0 0 0 7.49999e-06 0 7.49999e-06 0
3e-05 0 0 0 0 0 4.99667 0 4.99667 0
6e-05 0 0 0 0 0 5 0 5 0
9e-05 0 0 0 0 0 5 0 5 0
0.00012 0 0 0 0 0 5 0 5 0
0.00015 0 0 0 0 0 5 0 5 0
0.00018 0 0 0 0 0 5 0 5 0
0.00021 0 0 0 0 0 5 0 5 0
0.00024 0 0 0 0 0 5 0 5 0
0.00027 0 0 0 0 0 5 0 5 0
0.0003 0 0 0 0 0 5 0 5 0
0.00033 0 0 0 0 0 5 0 5 0
0.00036 0 0 0 0 0 5 0 5 0
0.00039 0 0 0 0 0 5 0 5 0
0.00042 0 0 0 0 0 5 0 5 0
0.00045 0 0 0 0 0 5 0 5 0
0.00048 0 0 0 0 0 5 0 5 0
0.00051 1.66625 0.00041632 4.99792 0 0 0.00333111 5 5 0
0.00054 1.66681 0.000416597 4.99958 0 0 2.21926e-06 5 5 0
0.00057 1.66681 0.000416597 4.99958 0 0 1.47852e-09 5 5 0
0.0006 1.66681 0.000416597 4.99958 0 0 9.85025e-13 5 5 0
0.00063 1.66681 0.000416597 4.99958 0 0 6.56246e-16 5 5 0
0.00066 1.66681 0.000416597 4.99958 0 0 4.37206e-19 5 5 0
0.00069 1.66681 0.000416597 4.99958 0 0 2.91276e-22 5 5 0
0.00072 1.66681 0.000416597 4.99958 0 0 1.94055e-25 5 5 0
0.00075 1.66681 0.000416597 4.99958 0 0 1.29284e-28 5 5 0
0.00078 1.66681 0.000416597 4.99958 0 0 8.61317e-32 5 5 0
0.00081 1.66681 0.000416597 4.99958 0 0 5.73829e-35 5 5 0
0.00084 1.66681 0.000416597 4.99958 0 0 3.82298e-38 5 5 0
0.00087 1.66681 0.000416597 4.99958 0 0 2.54695e-41 5 5 0
0.0009 1.66681 0.000416597 4.99958 0 0 1.69684e-44 5 5 0
0.00093 1.66681 0.000416597 4.99958 0 0 1.13047e-47 5 5 0
0.00096 1.66681 0.000416597 4.99958 0 0 7.53146e-51 5 5 0
0.00099 1.66681 0.000416597 4.99958 0 0 5.01763e-54 5 5 0
0.00102 1.66681 0.000416597 4.99958 0 0 3.34286e-57 0 5 0
0.00105 1.66681 0.000416597 4.99958 0 0 2.22709e-60 0 5 0
0.00108 1.66681 0.000416597 4.99958 0 0 1.48373e-63 0 5 0
0.00111 1.66681 0.000416597 4.99958 0 0 9.88497e-67 0 5 0
0.00114 1.66681 0.000416597 4.99958 0 0 6.58559e-70 0 5 0
0.00117 1.66681 0.000416597 4.99958 0 0 4.38747e-73 0 5 0
0.0012 1.66681 0.000416597 4.99958 0 0 2.92303e-76 0 5 0
0.00123 1.66681 0.000416597 4.99958 0 0 1.94739e-79 0 5 0
0.00126 1.66681 0.000416597 4.99958 0 0 1.29739e-82 0 5 0
0.00129 1.66681 0.000416597 4.99958 0 0 8.64353e-86 0 5 0
0.00132 1.66681 0.000416597 4.99958 0 0 5.75852e-89 0 5 0
0.00135 1.66681 0.000416597 4.99958 0 0 3.83645e-92 0 5 0
0.00138 1.66681 0.000416597 4.99958 0 0 2.55593e-95 0 5 0
0.00141 1.66681 0.000416597 4.99958 0 0 1.70282e-98 0 5 0
0.00144 1.66681 0.000416597 4.99958 0 0 1.13446e-101 0 5 0
0.00147 1.66681 0.000416597 4.99958 0 0 7.558e-105 0 5 0
0.0015 1.66681 0.000416597 4.99958 0 0 5.03531e-108 5.42101e-09 5 0
0.00153 3.33264 4.99792 0.00208215 0 0 4.99667 5 0.00333111 0
0.00156 3.33319 4.99958 0.000417152 0 0 5 5 2.21926e-06 0
0.00159 3.33319 4.99958 0.000416597 0 0 5 5 1.47852e-09 0
0.00162 3.33319 4.99958 0.000416597 0 0 5 5 9.85025e-13 0
0.00165 3.33319 4.99958 0.000416597 0 0 5 5 6.56246e-16 0
0.00168 3.33319 4.99958 0.000416597 0 0 5 5 4.37206e-19 0
0.00171 3.33319 4.99958 0.000416597 0 0 5 5 2.91276e-22 0
0.00174 3.33319 4.99958 0.000416597 0 0 5 5 1.94055e-25 0
0.00177 3.33319 4.99958 0.000416597 0 0 5 5 1.29284e-28 0
0.0018 3.33319 4.99958 0.000416597 0 0 5 5 8.61317e-32 0
0.00183 3.33319 4.99958 0.000416597 0 0 5 5 5.73829e-35 0
0.00186 3.33319 4.99958 0.000416597 0 0 5 5 3.82298e-38 0
0.00189 3.33319 4.99958 0.000416597 0 0 5 5 2.54695e-41 0
0.00192 3.33319 4.99958 0.000416597 0 0 5 5 1.69684e-44 0
0.00195 3.33319 4.99958 0.000416597 0 0 5 5 1.13047e-47 0
0.00198 3.33319 4.99958 0.000416597 0 0 5 5 7.53146e-51 0
0.00201 3.33319 4.99958 0.000416597 0 0 5 0 5.01763e-54 0
0.00204 3.33319 4.99958 0.000416597 0 0 5 0 3.34286e-57 0
0.00207 3.33319 4.99958 0.000416597 0 0 5 0 2.22709e-60 0
0.0021 3.33319 4.99958 0.000416597 0 0 5 0 1.48373e-63 0
0.00213 3.33319 4.99958 0.000416597 0 0 5 0 9.88497e-67 0
0.00216 3.33319 4.99958 0.000416597 0 0 5 0 6.58559e-70 0
0.00219 3.33319 4.99958 0.000416597 0 0 5 0 4.38747e-73 0
