t 1 2 3 4 5 6 7 jV0700 
7e-09 1.46187 0.0696127 1.45141 0.131947 0 1.47349 5 0
7.1e-09 1.47912 0.0704342 1.4684 0.133491 0 1.49103 5 0
7.2e-09 1.49628 0.0712515 1.4853 0.135028 0 1.50849 5 0
7.3e-09 1.51335 0.0720645 1.50211 0.136555 0 1.52586 5 0
7.4e-09 1.53034 0.0728732 1.51883 0.138075 0 1.54314 5 0
7.5e-09 1.54723 0.0736778 1.53545 0.139586 0 1.56034 5 0
7.6e-09 1.56404 0.0744781 1.55198 0.14109 0 1.57745 5 0
7.7e-09 1.58076 0.0752743 1.56843 0.142585 0 1.59448 5 0
7.8e-09 1.59739 0.0760663 1.58479 0.144071 0 1.61142 5 0
7.9e-09 1.61394 0.0768543 1.60105 0.14555 0 1.62828 5 0
8e-09 1.6304 0.0776381 1.61723 0.147021 0 1.64506 5 0
8.1e-09 1.64677 0.0784178 1.63332 0.148484 0 1.66175 5 0
8.2e-09 1.66306 0.0791934 1.64933 0.149939 0 1.67836 5 0
8.3e-09 1.67927 0.079965 1.66524 0.151386 0 1.69488 5 0
8.4e-09 1.69539 0.0807326 1.68107 0.152825 0 1.71133 5 0
8.5e-09 1.71142 0.0814962 1.69682 0.154256 0 1.72769 5 0
8.6e-09 1.72737 0.0822558 1.71248 0.15568 0 1.74397 5 0
8.7e-09 1.74324 0.0830115 1.72805 0.157096 0 1.76017 5 0
8.8e-09 1.75903 0.0837632 1.74354 0.158504 0 1.77629 5 0
8.9e-09 1.77473 0.084511 1.75895 0.159904 0 1.79232 5 0
9e-09 1.79035 0.0852549 1.77427 0.161297 0 1.80828 5 0
9.1e-09 1.80589 0.0859949 1.78951 0.162683 0 1.82416 5 0
9.2e-09 1.82135 0.0867311 1.80466 0.16406 0 1.83996 5 0
9.3e-09 1.83673 0.0874634 1.81974 0.165431 0 1.85568 5 0
9.4e-09 1.85203 0.088192 1.83473 0.166794 0 1.87133 5 0
9.5e-09 1.86725 0.0889167 1.84964 0.168149 0 1.88689 5 0
