t 1 2 3 4 5
0.0008300 0.066603 -0.302361 0.066603 0.133207 0.066603
0.0008400 0.060291 -0.368964 0.060291 0.120581 0.060291
0.0008500 0.053196 -0.429255 0.053196 0.106392 0.053196
0.0008600 0.045433 -0.482451 0.045433 0.090866 0.045433
0.0008700 0.037124 -0.527884 0.037124 0.074248 0.037124
0.0008800 0.028397 -0.565007 0.028397 0.056795 0.028397
0.0008900 0.019386 -0.593405 0.019386 0.038772 0.019386
0.0009000 0.010224 -0.612791 0.010224 0.020448 0.010224
0.0009100 0.001046 -0.623014 0.001046 0.002093 0.001046
0.0009200 -0.008013 -0.624061 -0.008013 -0.016026 -0.008013
0.0009300 -0.016825 -0.616048 -0.016825 -0.033650 -0.016825
0.0009400 -0.025266 -0.599223 -0.025266 -0.050531 -0.025266
0.0009500 -0.033218 -0.573957 -0.033218 -0.066436 -0.033218
0.0009600 -0.040573 -0.540739 -0.040573 -0.081146 -0.040573
0.0009700 -0.047234 -0.500166 -0.047234 -0.094468 -0.047234
0.0009800 -0.053114 -0.452932 -0.053114 -0.106227 -0.053114
0.0009900 -0.058138 -0.399818 -0.058138 -0.116277 -0.058138
0.0010000 -0.062248 -0.341680 -0.062248 -0.124495 -0.062248
0.0010100 -0.065395 -0.279432 -0.065395 -0.130790 -0.065395
0.0010200 -0.067549 -0.214037 -0.067549 -0.135099 -0.067549
0.0010300 -0.068694 -0.146488 -0.068694 -0.137387 -0.068694
0.0010400 -0.068825 -0.077794 -0.068825 -0.137651 -0.068825
0.0010500 -0.067958 -0.008969 -0.067958 -0.135916 -0.067958
0.0010600 -0.066118 0.058989 -0.066118 -0.132236 -0.066118
0.0010700 -0.063347 0.125107 -0.063347 -0.126693 -0.063347
0.0010800 -0.059697 0.188454 -0.059697 -0.119395 -0.059697
0.0010900 -0.055236 0.248151 -0.055236 -0.110472 -0.055236
0.0011000 -0.050038 0.303387 -0.050038 -0.100077 -0.050038
0.0011100 -0.044191 0.353426 -0.044191 -0.088382 -0.044191
0.0011200 -0.037788 0.397617 -0.037788 -0.075576 -0.037788
0.0011300 -0.030930 0.435405 -0.030930 -0.061860 -0.030930
0.0011400 -0.023723 0.466335 -0.023723 -0.047447 -0.023723
0.0011500 -0.016277 0.490059 -0.016277 -0.032555 -0.016277
0.0011600 -0.008703 0.506336 -0.008703 -0.017407 -0.008703
0.0011700 -0.001113 0.515039 -0.001113 -0.002226 -0.001113
0.0011800 0.006384 0.516152 0.006384 0.012768 0.006384
0.0011900 0.013679 0.509768 0.013679 0.027358 0.013679
0.0012000 0.020671 0.496089 0.020671 0.041341 0.020671
0.0012100 0.027261 0.475418 0.027261 0.054522 0.027261
0.0012200 0.033361 0.448157 0.033361 0.066722 0.033361
0.0012300 0.038889 0.414796 0.038889 0.077778 0.038889
0.0012400 0.043774 0.375907 0.043774 0.087547 0.043774
0.0012500 0.047953 0.332133 0.047953 0.095905 0.047953
0.0012600 0.051376 0.284181 0.051376 0.102752 0.051376
0.0012700 0.054006 0.232804 0.054006 0.108011 0.054006
0.0012800 0.055814 0.178799 0.055814 0.111628 0.055814
0.0012900 0.056788 0.122985 0.056788 0.113575 0.056788
0.0013000 0.056924 0.066197 0.056924 0.113848 0.056924
0.0013100 0.056233 0.009273 0.056233 0.112467 0.056233
0.0013200 0.054738 -0.046961 0.054738 0.109476 0.054738
0.0013300 0.052471 -0.101699 0.052471 0.104941 0.052471
0.0013400 0.049476 -0.154169 0.049476 0.098952 0.049476
0.0013500 0.045808 -0.203645 0.045808 0.091615 0.045808
0.0013600 0.041528 -0.249453 0.041528 0.083057 0.041528
0.0013700 0.036709 -0.290981 0.036709 0.073419 0.036709
0.0013800 0.031428 -0.327691 0.031428 0.062856 0.031428
0.0013900 0.025768 -0.359119 0.025768 0.051536 0.025768
0.0014000 0.019817 -0.384887 0.019817 0.039633 0.019817
0.0014100 0.013664 -0.404704 0.013664 0.027328 0.013664
0.0014200 0.007403 -0.418368 0.007403 0.014806 0.007403
0.0014300 0.001125 -0.425771 0.001125 0.002250 0.001125
0.0014400 -0.005078 -0.426896 -0.005078 -0.010157 -0.005078
0.0014500 -0.011118 -0.421817 -0.011118 -0.022236 -0.011118
0.0014600 -0.016909 -0.410699 -0.016909 -0.033818 -0.016909
0.0014700 -0.022371 -0.393791 -0.022371 -0.044742 -0.022371
0.0014800 -0.027430 -0.371419 -0.027430 -0.054859 -0.027430
0.0014900 -0.032018 -0.343990 -0.032018 -0.064035 -0.032018
0.0015000 -0.036075 -0.311972 -0.036075 -0.072150 -0.036075
0.0015100 -0.039551 -0.275897 -0.039551 -0.079101 -0.039551
0.0015200 -0.042403 -0.236347 -0.042403 -0.084805 -0.042403
0.0015300 -0.044599 -0.193944 -0.044599 -0.089198 -0.044599
0.0015400 -0.046117 -0.149345 -0.046117 -0.092234 -0.046117
0.0015500 -0.046945 -0.103228 -0.046945 -0.093889 -0.046945
0.0015600 -0.047080 -0.056284 -0.047080 -0.094160 -0.047080
0.0015700 -0.046531 -0.009204 -0.046531 -0.093062 -0.046531
0.0015800 -0.045316 0.037328 -0.045316 -0.090632 -0.045316
0.0015900 -0.043461 0.082643 -0.043461 -0.086923 -0.043461
0.0016000 -0.041004 0.126105 -0.041004 -0.082008 -0.041004
0.0016100 -0.037988 0.167108 -0.037988 -0.075975 -0.037988
0.0016200 -0.034465 0.205096 -0.034465 -0.068929 -0.034465
0.0016300 -0.030493 0.239561 -0.030493 -0.060987 -0.030493
0.0016400 -0.026138 0.270054 -0.026138 -0.052275 -0.026138
0.0016500 -0.021466 0.296192 -0.021466 -0.042932 -0.021466
0.0016600 -0.016551 0.317658 -0.016551 -0.033103 -0.016551
0.0016700 -0.011468 0.334209 -0.011468 -0.022936 -0.011468
0.0016800 -0.006292 0.345677 -0.006292 -0.012584 -0.006292
0.0016900 -0.001100 0.351969 -0.001100 -0.002199 -0.001100
0.0017000 0.004033 0.353069 0.004033 0.008066 0.004033
0.0017100 0.009033 0.349035 0.009033 0.018067 0.009033
0.0017200 0.013830 0.340002 0.013830 0.027660 0.013830
0.0017300 0.018357 0.326172 0.018357 0.036713 0.018357
0.0017400 0.022552 0.307816 0.022552 0.045103 0.022552
0.0017500 0.026359 0.285264 0.026359 0.052718 0.026359
0.0017600 0.029729 0.258905 0.029729 0.059459 0.029729
0.0017700 0.032620 0.229175 0.032620 0.065240 0.032620
0.0017800 0.034996 0.196556 0.034996 0.069991 0.034996
0.0017900 0.036830 0.161560 0.036830 0.073660 0.036830
0.0018000 0.038104 0.124730 0.038104 0.076208 0.038104
0.0018100 0.038807 0.086626 0.038807 0.077614 0.038807
0.0018200 0.038938 0.047819 0.038938 0.077875 0.038938
0.0018300 0.038502 0.008881 0.038502 0.077004 0.038502
0.0018400 0.037515 -0.029621 0.037515 0.075030 0.037515
0.0018500 0.035998 -0.067136 0.035998 0.071996 0.035998
0.0018600 0.033982 -0.103134 0.033982 0.067964 0.033982
0.0018700 0.031502 -0.137116 0.031502 0.063004 0.031502
0.0018800 0.028602 -0.168618 0.028602 0.057204 0.028602
0.0018900 0.025329 -0.197220 0.025329 0.050658 0.025329
0.0019000 0.021737 -0.222549 0.021737 0.043473 0.021737
0.0019100 0.017881 -0.244285 0.017881 0.035762 0.017881
0.0019200 0.013823 -0.262167 0.013823 0.027645 0.013823
0.0019300 0.009622 -0.275989 0.009622 0.019245 0.009622
0.0019400 0.005344 -0.285612 0.005344 0.010687 0.005344
0.0019500 0.001049 -0.290955 0.001049 0.002099 0.001049
0.0019600 -0.003198 -0.292005 -0.003198 -0.006395 -0.003198
0.0019700 -0.007337 -0.288807 -0.007337 -0.014674 -0.007337
0.0019800 -0.011310 -0.281470 -0.011310 -0.022620 -0.011310
0.0019900 -0.015061 -0.270160 -0.015061 -0.030123 -0.015061
0.0020000 -0.018540 -0.255099 -0.018540 -0.037080 -0.018540
0.0020100 -0.021700 -0.236558 -0.021700 -0.043400 -0.021700
0.0020200 -0.024499 -0.214859 -0.024499 -0.048999 -0.024499
0.0020300 -0.026903 -0.190359 -0.026903 -0.053806 -0.026903
0.0020400 -0.028882 -0.163456 -0.028882 -0.057764 -0.028882
0.0020500 -0.030414 -0.134574 -0.030414 -0.060828 -0.030414
0.0020600 -0.031483 -0.104160 -0.031483 -0.062965 -0.031483
0.0020700 -0.032080 -0.072678 -0.032080 -0.064159 -0.032080
0.0020800 -0.032203 -0.040598 -0.032203 -0.064406 -0.032203
0.0020900 -0.031858 -0.008395 -0.031858 -0.063716 -0.031858
0.0021000 -0.031056 0.023463 -0.031056 -0.062113 -0.031056
0.0021100 -0.029816 0.054519 -0.029816 -0.059632 -0.029816
0.0021200 -0.028162 0.084335 -0.028162 -0.056323 -0.028162
0.0021300 -0.026123 0.112497 -0.026123 -0.052246 -0.026123
0.0021400 -0.023736 0.138620 -0.023736 -0.047471 -0.023736
0.0021500 -0.021039 0.162356 -0.021039 -0.042077 -0.021039
0.0021600 -0.018076 0.183395 -0.018076 -0.036152 -0.018076
0.0021700 -0.014894 0.201470 -0.014894 -0.029788 -0.014894
0.0021800 -0.011542 0.216364 -0.011542 -0.023085 -0.011542
0.0021900 -0.008072 0.227907 -0.008072 -0.016144 -0.008072
0.0022000 -0.004535 0.235979 -0.004535 -0.009070 -0.004535
